ID;Data_Matricula;Aluno;CPF;Curso;Turno;Modalidade;Cidade;UF;Situacao;Nota_Final;Frequencia_Pct
1;2024-04-27;Ana Gomes;496 499 819 28;Publicidade e Propaganda;VESPERTINO;presencial;Goiânia;GO;Reprovado;3.2;N/A
2;10/07/2024;Letícia Alves;694.619.983-21;Relações Públicas;NOTURNO;Presencial;Florianópolis;SC;Aprovado;6.3;87
65;25/09/2023;Beatriz Lima;927 118 240 32;Rel. Públicas;Tarde;presencial;Belo Horizonte;MG;Trancamento;14.8;105
4;06-10-2024;Lucas Santos;151.236.092-32;Design;manhã;Educação a Distância;Maceió;AL;Ativo;6.0;4
5;01.08.2024;Bruno Martins;991 092 652 94;Journ.;matutino;presencial;São Paulo;SP;matriculado;3.1;N/A
6;02.10.2024;Beatriz Costa;168 163 402 97;Rel. Públicas;Matutino;e.a.d;Belo Horizonte;MG;aprovado;0.4;N/A
7;20-07-2024;Priscila Araújo;49851907589;Jornalismo;MATUTINO;PRESENCIAL;São Paulo;SP;reprovado;7.3;11
8;2023-06-04;Beatriz Oliveira;588.572.277-62;JORNALISMO;Manhã;Presencial;Maceió;AL;Aprovado;8.2;77
9;12/11/2023;Marcos Nascimento;197-057-672-13;publicidade;Matutino;ead;Rio de Janeiro;RJ;Matriculado;4.5;22
10;24.04.2024;Mariana Lima;249-140-711-39;Rádio e TV;noite;E.A.D.;Natal;RN;MATRICULADO;0.9;72
11;2024-11-10;Letícia Moreira;63167482205;Design Gráfico;MATUTINO;presencial;Natal;RN;reprovado;7.9;N/A
12;2023-04-19;Carlos Machado;26992931549;Design Gráfico;Integral;Presencial;São Paulo;SP;MATRICULADO;3.8;9
13;24.03.2024;Bruno Carvalho;413 843 267 14;Publicidade e Propaganda;Integral;ead;Salvador;BA;Trancado;9.8;16
14;2024-08-05;Beatriz Costa;348.902.474-73;JORNALISMO;Vespertino;e.a.d;Maceió;AL;aprovado;2.1;N/A
15;2023-12-01;Diego Ribeiro;939 680 296 84;RADIO E TV;Noite;Presencial;Campinas;SP;APROVADO;N/A;85
16;28/02/2023;Camila Moreira;72852382541;JORNALISMO;vespertino;semipresencial;Maceió;AL;Ativo;2.2;81
17;27/08/2024;Camila Cardoso;10949177365;PUBLICIDADE;Noturno;ead;Manaus;AM;Matriculado;7.9;75
18;23/09/2024;Juliana Machado;639.100.244-12;RELAÇÕES PÚBLICAS;vespertino;Presencial;Porto Alegre;RS;FORMADO;5.0;2
19;06-12-2023;Thiago Rocha;505.466.739-11;Design;matutino;Presencial;Salvador;BA;MATRICULADO;8.6;75
20;18/06/2024;Felipe Ribeiro;652 243 539 30;Design Gráfico;Vespertino;PRESENCIAL;Goiânia;GO;Matriculado;2.1;
21;2024-03-11;Felipe Martins;593 849 412 20;Design Gráfico;VESPERTINO;presencial;Recife;PE;reprovado;0.5;10
22;2024-11-25;Felipe Carvalho;436 589 542 05;Rádio e TV;manhã;PRESENCIAL;Porto Alegre;RS;Matriculado;2.7;11
23;01/01/2023;Pedro Machado;889 943 456 13;JORNALISMO;Vespertino;E.A.D.;São Paulo;SP;Trancado;N/A;28
96;17/05/2023;Carlos Cardoso;35190059499;RELAÇÕES PÚBLICAS;integral;presencial;Curitiba;PR;Trancamento;9.2;
25;2024-10-29;Larissa Alves;804.081.943-54;Publicidade;noturno;Presencial;Manaus;AM;reprovado;2.0;97
26;2024-04-01;Carlos Ribeiro;322.268.856-89;RADIO E TV;NOTURNO;PRESENCIAL;São Paulo;SP;aprovado;0.3;73
27;25/05/2023;Diego Nascimento;485-411-475-29;PUBLICIDADE;Not.;PRESENCIAL;Florianópolis;SC;APROVADO;5.6;N/A
