ID;Data_Pedido;Cliente;CPF;Produto;Categoria;Preco;Quantidade;UF;Cidade;Pagamento;Status_Pedido;Avaliacao_Cliente
1;06.11.2023;Rafael Alves;271 580 736 67;SMARTPHONE SAMSUNG;Eletro;1899.90;1;SC;Florianópolis;PIX;DEVOLVIDO;
2;17.08.2023;Mariana Carvalho;28101484196;SMART TV LG;ELETRONICOS;2499.00;1;AL;Maceió;PIX;entregue;2
3;29/06/2024;Thiago Ribeiro;372.376.310-67;Mouse sem Fio Logitech;acessórios p/ PC;R$ 149,90;2;RN;Natal;boleto bancário;Entregue;N/A
4;2023-05-06;Juliana Gomes;334-518-046-57;Mouse Logitech;acessorios;R$ 149.90;2;SP;Campinas;Boleto;entregue;
5;21.09.2023;Vanessa Cardoso;692 319 124 19;SMARTPHONE SAMSUNG;Eletrônico;1899.90;3;SP;São Paulo;Deb.;entregue;4
6;31/07/2024;Ana Silva;14603424714;Tablet Apple iPad;ELETRONICOS;R$ 4.199,90;2;RS;Porto Alegre;PIX Instantâneo;Entregue;5
7;2024-03-28;Ana Gomes;635.720.670-38;Tablet Apple iPad;Eletrônicos;4199.90;1;RN;Natal;DÉBITO;em trânsito;1
8;2024-02-13;Fernanda Nascimento;72934647486;smart tv lg;eletronicos;R$ 2.499,00;2;SP;São Paulo;Crédito;entregue;4
9;31.08.2024;Bruno Silva;47719073385;tablet apple;eletronicos;R$ 4.199,90;3;MG;Belo Horizonte;Cartão de Crédito;Entregue;2
10;17.02.2024;Letícia Martins;36582202970;SMART TV LG;Eletrônicos;2499.00;1;BA;Salvador;DÉBITO;entregue;N/A
11;2024-01-25;Vanessa Rocha;852-741-191-35;smart tv lg;ELETRONICOS;R$ 2499.00;2;AM;Manaus;pix;Entregue;4
112;2023-08-25;Larissa Araújo;823 493 671 47;"Smart TV LG 55""";ELETRÔNICOS;2499.00;2;RN;Natal;cartão de débito;ENTREGUE;
13;05-10-2024;Carlos Martins;496-271-928-77;SMARTPHONE SAMSUNG;Eletro;1899.90;1;RJ;Rio de Janeiro;cartão crédito;cancelado;2
14;2024-05-24;Vanessa Rocha;523.589.023-39;TECLADO MECANICO;INFORMATICA;389,90;-2;CE;Fortaleza;PIX;cancelado;4
15;13/12/2023;Fernanda Pereira;680-305-494-22;MOUSE LOGITECH;acessorios;149.90;-2;AL;Maceió;PIX;Entregue;2
16;18.08.2023;Carlos Souza;806.369.170-65;"Smart TV LG 55""";Eletrônico;2499,00;2;PE;Recife;Crédito;DEVOLVIDO;1
17;30/05/2023;Fernanda Araújo;654 471 452 29;Smartphone Samsung;Eletrônico;R$ 1.899,90;1;MG;Belo Horizonte;Crédito;entregue;1
18;26/02/2024;Letícia Araújo;42802884929;smart tv lg;eletronicos;2499,00;1;RN;Natal;BOLETO;Entregue;6
19;02-05-2024;Beatriz Oliveira;765-796-160-76;Notebook Dell;Informática;R$ 3.599,90;2;PE;Recife;PIX;DEVOLVIDO;5
20;10-07-2023;Fernanda Alves;701.213.584-71;Mouse Logitech;acessórios p/ PC;149.90;2;MG;Belo Horizonte;DÉBITO;em trânsito;
21;20-03-2024;Camila Ferreira;606.901.490-24;SMART TV LG;ELETRONICOS;2499,00;1;AL;Maceió;Deb.;Entregue com Sucesso;3
22;2023-12-23;Bruno Ribeiro;810.599.631-94;SMARTPHONE SAMSUNG;ELETRONICOS;1899,90;2;PI;Teresina;Pix;Entregue com Sucesso;3
23;31.08.2023;Marcos Gomes;35336466071;mouse logitech;acessorios;R$ 149.90;2;PR;Curitiba;Crédito;Em Trânsito;5
24;31.12.2024;Letícia Ribeiro;42508563372;Samsung Galaxy;Eletro;R$1.899,90;1;SP;São Paulo;Cc;ENTREGUE;5
25;22/08/2024;Diego Gomes;202.957.838-31;Fone de Ouvido JBL;acessorios;R$299,90;3;MG;Belo Horizonte;PIX Instantâneo;entregue;N/A
26;04.07.2023;Pedro Carvalho;768.407.248-02;smartphone samsung;ELETRONICOS;1899.90;1;PR;Curitiba;Cartao Credito;Entregue com Sucesso;N/A
27;07/06/2024;Pedro Nascimento;52857470829;TABLET APPLE;Eletro;R$ 4199.90;-1;SC;Florianópolis;Boleto Bancário;Entregue com Sucesso;4
28;03-07-2024;Felipe Gomes;388.120.980-42;fone jbl;Acess.;299.90;1;PE;Recife;Cartão de Crédito;Pedido Cancelado;5
29;31.01.2024;Letícia Ferreira;226-411-631-35;"Smart TV LG 55""";ELETRÔNICOS;R$ 2.499,00;2;GO;Goiânia;Cartão de Crédito;Pedido Cancelado;6
30;14-07-2023;Beatriz Machado;847.583.259-22;mouse s/ fio logitech;Acessórios;149,90;3;SP;São Paulo;cartão crédito;em trânsito;N/A
31;2023-12-22;Thiago Pereira;488-363-680-86;SMART TV LG;Eletrônico;R$2.499,00;2;PI;Teresina;DÉBITO;entregue;2
32;09-06-2023;Thiago Carvalho;715 642 920 95;TABLET APPLE;Eletrônico;4199.90;3;MG;Belo Horizonte;Pix;cancelado;2
