ID;Data_Reclamacao;Consumidor;CPF;Cidade;UF;Categoria;Empresa;Descricao_Problema;Status;Nota_Consumidor;Tempo_Resposta_Dias
1;13/2/2024;Rafael Martins;546.145.594-78;Maceió;AL;Correios e Entregas;CLARO;Falta de resposta;Finalizado não avaliado;N/A;
2;2024-12-14;Bruno Carvalho;223.862.520-27;Ananindeua;PA;Alimentação - Delivery;Claro/Net;Voo cancelado sem aviso;Em análise;2;2
3;14.09.2023;Juliana Costa;950.746.773-59;Santana;AP;Alimentação - Delivery;Amazon Brasil;Atendimento precário;Finalizado avaliado;5;3
4;13/9/2024;Felipe Ribeiro;452 770 233 34;Linhares;ES;Transporte Aéreo;Correios;Erro no aplicativo;Em análise;5;77
5;03-10-2024;Maria Silva;881 818 170 17;Chapecó;SC;Bancos e Financeiras;gol linhas aéreas;Voo cancelado sem aviso;Finalizado avaliado;4;71
6;08/04/2024;Juliana Costa;721-712-774-89;Dourados;MS;Seguros;Bradesco;Conta contestada;Em análise;N/A;22
7;2024-11-15;JOÃO SANTOS;370.781.368-77;Camaçari;BA;Telecomunicações - Internet;LATAM Airlines;Serviço não prestado;Resolvido;4;-3
8;22.03.2024;Ana Oliveira;562.318.977-30;Lauro de Freitas;BA;Alimentação - Delivery;SABESP;Atendimento precário;Finalizado não avaliado;1;7
9;25-11-2024;Camila Rodrigues;906-437-435-84;Petrolina;PE;Seguros;Banco do Brasil;Estorno não realizado;Finalizado avaliado;4;N/A
10;28/04/2024;Fernanda Pereira;355 185 440 92;Manaus;AM;Telecomunicações - Internet;magalu;Produto não entregue;Em análise;N/A;42
11;2023-10-04;Vanessa Gomes;72863756010;Samambaia;DF;Água e Esgoto;CAIXA ECONÔMICA;Conta contestada;Em análise;3;79
12;27/12/2023;Daniela Araújo;937-295-107-78;Santana;AP;Energia Elétrica;Claro/Net;Defeito no produto;Finalizado avaliado;4;
13;2023-02-24;Maria Silva;892.244.703-35;Vilhena;RO;Bancos e Financeiras;Telefonica Brasil;Conta contestada;Em andamento;2;2
14;10/01/2023;Amanda Dias;49028060664;Cuiabá;MT;Alimentação - Delivery;MAGAZINE LUIZA;Produto diferente do anunciado;Não Resolvido;1;59
15;2024-06-15;Rafael Martins;917 393 789 44;Sobral;CE;Telecomunicações - Telefonia Móvel;AMAZON BRASIL;Voo cancelado sem aviso;Finalizado não avaliado;3;51
16;01-06-2023;Pedro Lima;780.699.595-71;Guarulhos;SP;Correios e Entregas;Sabesp;Qualidade abaixo do esperado;Finalizado não avaliado;1;N/A
17;02/01/2023;Felipe Ribeiro;331.601.718-72;Linhares;ES;Cartões de Crédito/Débito;Banco do Brasil;Internet instável;Finalizado avaliado;1;75
18;17/11/2024;Lucas Nascimento;672-827-843-38;Manacapuru;AM;Telecomunicações - Telefonia Móvel;cvc viagens;Estorno não realizado;Em análise;1;53
19;3/3/2023;Carlos Souza;19092922996;Floriano;PI;Água e Esgoto;Mercadolivre;Conta contestada;Resolvido;4;
20;15-06-2023;Gustavo Rocha;892-404-679-46;Olinda;PE;Energia Elétrica;claro / net;Atendimento precário;Finalizado não avaliado;4;54
21;2024-08-25;Daniela Araújo;459.304.405-21;Santa Rita;PB;Água e Esgoto;tim;Produto não entregue;Resolvido;4;27
22;25.01.2023;Amanda Dias;756.489.806-88;Joinville;SC;Telecomunicações - Internet;Net Virtua;Internet instável;Finalizado avaliado;4;21
23;24-02-2023;Roberto Almeida;542 657 638 95;Floriano;PI;Transporte Aéreo;Enel;Conta contestada;Não Resolvido;5;82
24;23-11-2023;PATRÍCIA MENDES;83873094185;Recife;PE;Telecomunicações - Telefonia Móvel;MAGAZINE LUIZA;Dificuldade de cancelamento;Em análise;3;N/A
25;21/5/2023;Camila Rodrigues;65646033722;Sorriso;MT;Seguros;Mercado Livre;Cobrança após cancelamento;Finalizado não avaliado;2;
26;27/5/2023;Ana Oliveira;297 578 139 50;Plano Piloto;DF;Eletrônicos e Celulares;uber;Erro no aplicativo;Não Resolvido;N/A;88
27;24-02-2024;Roberto Almeida;41555123181;São José dos Campos;SP;Cartões de Crédito/Débito;Azul;Atraso na entrega;Em andamento;3;
28;27/03/2024;Vanessa Gomes;868-335-461-49;Coari;AM;Correios e Entregas;cpfl energia;Serviço não prestado;Não Resolvido;1;21
29;08/05/2023;DANIELA ARAÚJO;21238955740;Santa Rita;PB;Viagens e Turismo;CASAS BAHIA;Voo cancelado sem aviso;Não Resolvido;4;57
30;17.12.2024;Fernanda Pereira;664-333-943-30;Uberlândia;MG;Eletrônicos e Celulares;CPFL ENERGIA;Produto não entregue;Resolvido;3;0
31;15/7/2023;Ana Oliveira;822-751-398-77;São José dos Pinhais;PR;Correios e Entregas;Caixa Econômica;Falta de resposta;Finalizado avaliado;5;84
32;16-12-2024;Patrícia Mendes;96748777396;Paraíso do Tocantins;TO;Telecomunicações - TV por Assinatura;enel;Produto não entregue;Não Resolvido;4;86
33;19/01/2023;Lucas Nascimento;354.638.325-95;Várzea Grande;MT;Alimentação - Delivery;CLARO;Atendimento precário;Resolvido;2;41
34;3/2/2023;Bruno Carvalho;885-820-847-79;Nossa Senhora do Socorro;SE;Correios e Entregas;enel;Cobrança após cancelamento;Resolvido;5;29
35;24/4/2023;João Santos;915 518 481 60;Porto Velho;RO;Eletrônicos e Celulares;SAMSUNG;Atraso na entrega;Em andamento;5;44
36;2024-04-05;Daniela Araújo;908.270.660-28;Paulista;PE;Seguros;uber;Cobrança indevida;Resolvido;4;67
37;21/10/2024;Daniela Araújo;36844850765;Palmeira dos Índios;AL;Eletrônicos e Celulares;CPFL Energia;Voo cancelado sem aviso;Em análise;3;-1
38;27/07/2023;Felipe Ribeiro;703-335-358-45;Ceilândia;DF;Bancos e Financeiras;VIVO;Cobrança após cancelamento;Em andamento;5;-1
39;23.10.2024;Felipe Ribeiro;628.437.741-91;Aparecida de Goiânia;GO;Seguros;CASAS BAHIA;Qualidade abaixo do esperado;Finalizado não avaliado;N/A;
40;2024-02-22;Carlos Souza;925-803-960-69;Brasília;DF;Correios e Entregas;ifood;Falta de resposta;Finalizado não avaliado;2;4
41;26/02/2023;Lucas Nascimento;405-567-993-55;Colombo;PR;Telecomunicações - TV por Assinatura;motorola;Cobrança indevida;Finalizado avaliado;1;10
42;3/10/2024;Ana Oliveira;714-291-210-46;Canoas;RS;Seguros;Americanas S.A.;Conta contestada;Em análise;3;-2
43;25.02.2023;Carlos Souza;284 321 569 10;Santos;SP;Cartões de Crédito/Débito;cpfl energia;Produto diferente do anunciado;Em análise;5;80
44;28/08/2024;Daniela Araújo;102.819.221-70;Cascavel;PR;Energia Elétrica;Uber;Internet instável;Em andamento;3;6
45;5/11/2023;Amanda Dias;332 443 188 65;Lagarto;SE;Eletrônicos e Celulares;CVC Viagens;Atraso na entrega;Em andamento;3;62
46;2023-04-17;Vanessa Gomes;846-711-286-93;Belém;PA;Transporte Aéreo;CPFL ENERGIA;Qualidade abaixo do esperado;Finalizado avaliado;;71
47;2023-05-15;Felipe Ribeiro;429-370-670-15;Santana;AP;Bancos e Financeiras;ITAÚ;Erro no aplicativo;Não Resolvido;4;N/A
48;13-05-2023;Ana Oliveira;868 555 352 95;Cachoeiro de Itapemirim;ES;Transporte por Aplicativo;Magazine Luiza;Cobrança após cancelamento;Finalizado avaliado;;
49;15-11-2023;Roberto Almeida;506-680-177-51;Vitória da Conquista;BA;Energia Elétrica;oi fixo;Erro no aplicativo;Em andamento;5;15
50;1/7/2024;Camila Rodrigues;723-846-652-45;Pelotas;RS;Transporte por Aplicativo;tim;Falta de resposta;Em andamento;1;-2
51;20/5/2023;Carlos Souza;441-758-358-69;Macapá;AP;Telecomunicações - Internet;LATAM Airlines;Dados incorretos na fatura;Finalizado avaliado;2;10
52;2023-07-17;Fernanda Pereira;523-368-882-24;Ji-Paraná;RO;Telecomunicações - TV por Assinatura;CPFL Energia;Serviço não prestado;Finalizado avaliado;2;81
53;11.07.2024;Gustavo Rocha;83036420572;Tangará da Serra;MT;Transporte por Aplicativo;BRADESCO;Propaganda enganosa;Resolvido;1;N/A
54;2024-05-10;Ana Oliveira;434 243 585 60;Colombo;PR;Transporte Aéreo;Enel;Propaganda enganosa;Em análise;1;21
55;14.10.2023;Roberto Almeida;938-348-383-84;Guarulhos;SP;Bancos e Financeiras;LATAM AIRLINES;Dificuldade de cancelamento;Em andamento;3;12
56;27/11/2023;Maria Silva;470 433 410 88;Rondonópolis;MT;Transporte por Aplicativo;Samsung;Falta de resposta;Resolvido;2;56
57;1/11/2024;Lucas Nascimento;581-559-535-21;Sinop;MT;Eletrônicos e Celulares;tim;Conta contestada;Finalizado não avaliado;5;75
58;2024-07-01;Ana Oliveira;22387649959;Várzea Grande;MT;Transporte Aéreo;APPLE;Conta contestada;Finalizado não avaliado;2;67
59;22/03/2023;Roberto Almeida;466-226-233-80;Boa Vista;RR;Alimentação - Delivery;vivo telefonica;Defeito no produto;Não Resolvido;3;84
60;12/11/2023;Gustavo Rocha;930 762 327 42;Cabo de Santo Agostinho;PE;Água e Esgoto;Mercadolivre;Produto diferente do anunciado;Finalizado avaliado;1;17
61;26.12.2024;Camila Rodrigues;287.542.454-47;Paço do Lumiar;MA;Cartões de Crédito/Débito;iFood;Serviço não prestado;Em andamento;4;27
62;24-01-2024;Roberto Almeida;569.314.156-45;Santa Maria;RS;Transporte por Aplicativo;Enel;Produto não entregue;Em andamento;2;33
63;2023-01-22;Roberto Almeida;820.799.732-32;Caracaraí;RR;Telecomunicações - TV por Assinatura;SAMSUNG;Falta de resposta;Em análise;4;N/A
64;13/09/2023;João Santos;93013580596;Paulista;PE;Telecomunicações - Telefonia Móvel;SKY BRASIL;Cobrança indevida;Em análise;1;86
65;23-05-2023;Pedro Lima;790 182 766 34;Itajaí;SC;Água e Esgoto;latam airlines;Cobrança indevida;Finalizado avaliado;5;
66;11/01/2024;Ana Oliveira;628.206.213-81;Goiânia;GO;Bancos e Financeiras;Caixa Econômica;Internet instável;Finalizado avaliado;4;30
67;2023-03-06;Maria Silva;511 777 758 86;Palmeira dos Índios;AL;Água e Esgoto;Caixa Econômica;Internet instável;Em andamento;5;53
68;13/08/2024;Carlos Souza;228 799 829 89;Manacapuru;AM;Energia Elétrica;Net Virtua;Produto diferente do anunciado;Finalizado não avaliado;5;
69;08/05/2023;Daniela Araújo;21238955740;Santa Rita;PB;Viagens e Turismo;CASAS BAHIA;Voo cancelado sem aviso;Não Resolvido;4;57
70;3/8/2024;Roberto Almeida;48861887142;Três Lagoas;MS;Energia Elétrica;itau;Cobrança após cancelamento;Em andamento;5;
71;23.07.2024;Rafael Martins;643-620-622-66;Campinas;SP;Energia Elétrica;banco do brasil;Produto não entregue;Finalizado avaliado;4;31
72;13.02.2023;Patrícia Mendes;460.617.151-35;Parnaíba;PI;Transporte por Aplicativo;RAPPI;Falta de resposta;Finalizado avaliado;;49
73;03/03/2024;João Santos;17734995080;Sorocaba;SP;Telecomunicações - Internet;uber;Cobrança após cancelamento;Finalizado avaliado;5;41
74;05-11-2023;Thiago Ferreira;59134845064;Ariquemes;RO;Eletrônicos e Celulares;cpfl energia;Dificuldade de cancelamento;Em análise;3;5
75;25/7/2024;Juliana Costa;64292110651;Aparecida de Goiânia;GO;Comércio Eletrônico;americanas;Falta de resposta;Finalizado não avaliado;N/A;
76;27-05-2023;Carlos Souza;144.521.469-18;Ceilândia;DF;Telecomunicações - TV por Assinatura;MAGAZINE LUIZA;Dificuldade de cancelamento;Resolvido;1;2
77;01/08/2024;Thiago Ferreira;79855473235;Recife;PE;Cartões de Crédito/Débito;latam airlines;Internet instável;Finalizado avaliado;1;43
78;06-02-2024;Bruno Carvalho;836-839-880-31;Caracaraí;RR;Cartões de Crédito/Débito;CPFL ENERGIA;Qualidade abaixo do esperado;Finalizado avaliado;1;33
79;01-12-2023;Rafael Martins;559-674-331-44;Chapecó;SC;Energia Elétrica;Sky Brasil;Cobrança após cancelamento;Em andamento;1;
80;2023-02-24;MARIA SILVA;892.244.703-35;Vilhena;RO;Bancos e Financeiras;Telefonica Brasil;Conta contestada;Em andamento;2;2
81;06-10-2023;Felipe Ribeiro;953 972 764 17;Blumenau;SC;Telecomunicações - TV por Assinatura;americanas;Internet instável;Em andamento;N/A;1
82;18-11-2024;Camila Rodrigues;61830390547;Colombo;PR;Bancos e Financeiras;B2W - Americanas;Conta contestada;Em análise;4;54
83;06.08.2023;Roberto Almeida;42083045929;São Luís;MA;Telecomunicações - TV por Assinatura;GOL LINHAS AÉREAS;Dados incorretos na fatura;Resolvido;5;46
84;25/09/2024;Vanessa Gomes;96312155715;Rio Branco;AC;Telecomunicações - Telefonia Móvel;Banco Bradesco;Serviço não prestado;Finalizado não avaliado;4;66
85;08-07-2023;João Santos;875-769-310-82;Patos;PB;Transporte por Aplicativo;APPLE;Qualidade abaixo do esperado;Resolvido;3;
86;2023-11-22;Daniela Araújo;684-410-236-16;Serra;ES;Eletrônicos e Celulares;americanas;Qualidade abaixo do esperado;Não Resolvido;4;77
87;25/2/2023;Pedro Lima;16295521260;Nova Iguaçu;RJ;Viagens e Turismo;B2W - Americanas;Cobrança após cancelamento;Não Resolvido;4;84
88;16.09.2024;Amanda Dias;772.217.495-41;Mossoró;RN;Alimentação - Delivery;Vivo;Estorno não realizado;Finalizado avaliado;5;
89;13/11/2024;Felipe Ribeiro;81191669984;Vitória;ES;Comércio Eletrônico;Sabesp;Falta de resposta;Em andamento;2;50
90;25-07-2024;Daniela Araújo;681 679 759 62;Paulista;PE;Telecomunicações - Internet;GOL LINHAS AÉREAS;Estorno não realizado;Resolvido;1;80
91;22/10/2024;Gustavo Rocha;611 590 187 52;Ceará-Mirim;RN;Cartões de Crédito/Débito;99;Falta de resposta;Finalizado não avaliado;5;
92;27-03-2024;Rafael Martins;766 147 227 60;Ceará-Mirim;RN;Transporte Aéreo;enel;Voo cancelado sem aviso;Em análise;5;88
93;2023-04-01;Camila Rodrigues;53553866172;Curitiba;PR;Energia Elétrica;tim;Qualidade abaixo do esperado;Não Resolvido;5;44
94;06-02-2023;Roberto Almeida;303.348.431-44;Rio Branco;AC;Energia Elétrica;caixa econômica;Cobrança indevida;Finalizado não avaliado;1;27
95;28/8/2023;Roberto Almeida;796.712.700-80;Serra;ES;Seguros;GOL LINHAS AÉREAS;Propaganda enganosa;Em análise;N/A;28
96;2024-03-23;Fernanda Pereira;225 437 956 30;Campos dos Goytacazes;RJ;Eletrônicos e Celulares;oi fixo;Dados incorretos na fatura;Resolvido;4;18
97;20-03-2024;Lucas Nascimento;302-744-450-48;Itapipoca;CE;Bancos e Financeiras;CAIXA ECONÔMICA;Produto diferente do anunciado;Não Resolvido;3;N/A
98;27/4/2024;Maria Silva;474.472.672-92;São Gonçalo do Amarante;RN;Transporte Aéreo;iFood;Internet instável;Finalizado avaliado;3;
99;03/06/2024;Amanda Dias;434 167 260 89;Ceará-Mirim;RN;Correios e Entregas;Amazon Brasil;Internet instável;Finalizado não avaliado;1;47
100;19/04/2023;Vanessa Gomes;847 516 818 53;Linhares;ES;Comércio Eletrônico;latam airlines;Atendimento precário;Em análise;3;
101;21-02-2023;Amanda Dias;386-329-417-51;Cabedelo;PB;Telecomunicações - Telefonia Móvel;Amazon Brasil;Cobrança após cancelamento;Finalizado não avaliado;5;6
102;10-12-2024;Felipe Ribeiro;395 107 305 81;Macaíba;RN;Cartões de Crédito/Débito;caixa econômica;Voo cancelado sem aviso;Finalizado avaliado;3;85
103;12/10/2024;Roberto Almeida;379 535 677 51;Goiânia;GO;Viagens e Turismo;enel;Atraso na entrega;Finalizado não avaliado;5;2
104;14/12/2023;Roberto Almeida;933.645.197-75;Águas Lindas de Goiás;GO;Telecomunicações - Telefonia Móvel;CPFL Energia;Produto não entregue;Resolvido;4;48
105;07-01-2023;Juliana Costa;23153999832;Codó;MA;Eletrônicos e Celulares;UBER;Atraso na entrega;Resolvido;1;58
106;23-11-2024;Maria Silva;719 899 836 36;Linhares;ES;Comércio Eletrônico;CVC Viagens;Propaganda enganosa;Não Resolvido;4;39
107;2024-12-15;Gustavo Rocha;343 809 171 32;Ponta Porã;MS;Seguros;T.I.M.;Qualidade abaixo do esperado;Finalizado avaliado;5;83
108;14/6/2023;Ana Oliveira;220-784-853-75;Santa Maria;RS;Cartões de Crédito/Débito;IFOOD;Falta de resposta;Em análise;1;74
109;06.08.2024;Vanessa Gomes;49044250981;Natal;RN;Correios e Entregas;Americanas;Defeito no produto;Resolvido;1;62
110;2024-01-08;Larissa Barbosa;983.322.793-37;São Gonçalo do Amarante;RN;Correios e Entregas;correios;Serviço não prestado;Em análise;1;66
111;15-12-2023;Daniela Araújo;30138727687;Campina Grande;PB;Telecomunicações - Telefonia Móvel;Azul;Atraso na entrega;Em análise;2;
112;1/8/2023;Camila Rodrigues;33856155914;Niterói;RJ;Alimentação - Delivery;OI FIXO;Defeito no produto;Finalizado não avaliado;3;15
113;23-11-2023;Patrícia Mendes;83873094185;Recife;PE;Telecomunicações - Telefonia Móvel;MAGAZINE LUIZA;Dificuldade de cancelamento;Em análise;3;N/A
114;25.03.2023;Felipe Ribeiro;525.725.737-92;Teresina;PI;Seguros;99;Produto diferente do anunciado;Finalizado não avaliado;2;58
115;2024-11-15;João Santos;370.781.368-77;Camaçari;BA;Telecomunicações - Internet;LATAM Airlines;Serviço não prestado;Resolvido;4;-3
116;19.08.2024;Felipe Ribeiro;760-511-782-58;Piripiri;PI;Comércio Eletrônico;bradesco;Internet instável;Finalizado avaliado;4;34
117;2024-05-24;Ana Oliveira;725 899 942 42;Sena Madureira;AC;Cartões de Crédito/Débito;correios;Internet instável;Não Resolvido;1;48
118;08-07-2024;Thiago Ferreira;690.200.804-29;Petrolina;PE;Seguros;VIVO;Conta contestada;Finalizado avaliado;1;
119;2023-03-16;Bruno Carvalho;808-280-572-64;Plano Piloto;DF;Água e Esgoto;cvc viagens;Propaganda enganosa;Resolvido;2;17
120;27/07/2023;Felipe Ribeiro;703-335-358-45;Ceilândia;DF;Bancos e Financeiras;VIVO;Cobrança após cancelamento;Em andamento;5;-1
121;16/8/2024;Gustavo Rocha;865-798-816-62;Paulista;PE;Telecomunicações - Internet;BANCO DO BRASIL;Voo cancelado sem aviso;Finalizado não avaliado;1;N/A
122;19-01-2023;Maria Silva;604 210 860 97;Camaçari;BA;Telecomunicações - Telefonia Móvel;Banco Bradesco;Dados incorretos na fatura;Finalizado avaliado;5;9
123;09/08/2023;Daniela Araújo;142-252-137-15;Três Lagoas;MS;Eletrônicos e Celulares;americanas;Estorno não realizado;Finalizado não avaliado;1;N/A
124;19-11-2024;Thiago Ferreira;916.518.277-83;Campinas;SP;Água e Esgoto;ENEL;Dificuldade de cancelamento;Não Resolvido;2;15
125;04-02-2023;Gustavo Rocha;254.805.994-48;Porto Nacional;TO;Água e Esgoto;SABESP;Falta de resposta;Finalizado não avaliado;;19
126;11.06.2023;Thiago Ferreira;473-762-578-97;Campo Grande;MS;Telecomunicações - TV por Assinatura;99;Serviço não prestado;Em andamento;1;7
127;24/11/2024;João Santos;91471323975;Cascavel;PR;Energia Elétrica;SKY BRASIL;Cobrança indevida;Resolvido;5;49
128;21/12/2023;Bruno Carvalho;16822812783;Dourados;MS;Correios e Entregas;LATAM AIRLINES;Produto não entregue;Não Resolvido;3;8
129;02.10.2024;Roberto Almeida;108-890-920-70;Várzea Grande;MT;Água e Esgoto;CVC Viagens;Dados incorretos na fatura;Finalizado avaliado;3;85
130;12/08/2023;Larissa Barbosa;651 719 335 40;Ceilândia;DF;Correios e Entregas;ENEL;Cobrança após cancelamento;Em andamento;;68
131;02/03/2024;Carlos Souza;361 544 463 34;Maracanaú;CE;Transporte Aéreo;Vivo;Qualidade abaixo do esperado;Em análise;2;12
132;2023-09-18;Bruno Carvalho;14660015968;Caracaraí;RR;Água e Esgoto;gol linhas aéreas;Estorno não realizado;Resolvido;2;11
133;01-04-2023;Patrícia Mendes;567.302.354-75;Piripiri;PI;Bancos e Financeiras;uber;Dificuldade de cancelamento;Resolvido;2;44
134;07.03.2024;Bruno Carvalho;572-371-836-23;Parnamirim;RN;Água e Esgoto;UBER;Internet instável;Não Resolvido;2;
135;11.09.2024;Camila Rodrigues;351.934.370-55;Floriano;PI;Transporte por Aplicativo;99;Atraso na entrega;Resolvido;2;6
136;24/9/2024;Maria Silva;152.792.580-16;Manaus;AM;Seguros;Vivo S.A.;Propaganda enganosa;Em análise;1;23
137;2024-10-22;Juliana Costa;19847660195;Três Lagoas;MS;Eletrônicos e Celulares;MAGAZINE LUIZA;Propaganda enganosa;Em andamento;3;4
138;26/5/2024;Amanda Dias;370.694.575-10;Manaus;AM;Transporte Aéreo;Mercado Livre;Internet instável;Finalizado avaliado;4;13
139;27/06/2024;Maria Silva;912 350 681 93;Bayeux;PB;Seguros;AMAZON BRASIL;Falta de resposta;Finalizado não avaliado;2;62
140;17.02.2023;Carlos Souza;414-495-131-35;Manacapuru;AM;Telecomunicações - Internet;UBER;Cobrança após cancelamento;Finalizado avaliado;1;3
141;21-03-2023;Carlos Souza;14058379976;Piripiri;PI;Alimentação - Delivery;Banco do Brasil;Produto diferente do anunciado;Finalizado não avaliado;2;55
142;08-11-2024;Maria Silva;490-565-727-83;Jaboatão dos Guararapes;PE;Seguros;99;Internet instável;Resolvido;3;5
143;2023-07-21;Patrícia Mendes;386-313-943-28;Coari;AM;Alimentação - Delivery;NET;Atendimento precário;Em análise;5;83
144;2023-11-10;Gustavo Rocha;643 139 415 74;São Bernardo do Campo;SP;Seguros;cpfl energia;Conta contestada;Em análise;1;
145;10.12.2024;Lucas Nascimento;170.976.893-93;Macapá;AP;Telecomunicações - Telefonia Móvel;sky brasil;Atendimento precário;Não Resolvido;4;41
146;2023-05-28;Carlos Souza;214 245 344 94;Parnamirim;RN;Alimentação - Delivery;Bradesco;Propaganda enganosa;Finalizado não avaliado;3;
147;2024-07-10;Maria Silva;93449792355;Macapá;AP;Correios e Entregas;CVC VIAGENS;Propaganda enganosa;Finalizado avaliado;3;29
148;2024-03-26;Thiago Ferreira;81350926376;Taguatinga;DF;Energia Elétrica;Sky Brasil;Dificuldade de cancelamento;Resolvido;3;23
149;2023-11-06;Rafael Martins;963.614.905-69;Serra;ES;Viagens e Turismo;SKY BRASIL;Voo cancelado sem aviso;Finalizado avaliado;4;70
150;23.09.2023;Rafael Martins;944.885.850-99;Arapiraca;AL;Eletrônicos e Celulares;Enel;Produto não entregue;Não Resolvido;2;84
151;12/11/2024;Fernanda Pereira;364.130.899-87;Uberaba;MG;Água e Esgoto;Claro/Net;Cobrança após cancelamento;Resolvido;4;9
152;27-04-2023;Juliana Costa;56075040640;Oiapoque;AP;Eletrônicos e Celulares;VIVO;Falta de resposta;Resolvido;N/A;23
153;06/04/2024;Juliana Costa;10220034078;Maceió;AL;Telecomunicações - TV por Assinatura;UBER;Conta contestada;Finalizado não avaliado;5;26
154;6/11/2023;Juliana Costa;330.900.691-95;Santarém;PA;Bancos e Financeiras;Claro/Net;Conta contestada;Finalizado avaliado;1;
155;09/07/2023;Felipe Ribeiro;368 420 696 85;Tarauacá;AC;Bancos e Financeiras;Sabesp;Atraso na entrega;Não Resolvido;3;4
156;2/4/2024;Lucas Nascimento;454.970.709-89;Patos;PB;Correios e Entregas;Net Virtua;Defeito no produto;Resolvido;2;
157;11/09/2024;João Santos;378-347-165-54;Águas Lindas de Goiás;GO;Comércio Eletrônico;TIM Celular;Internet instável;Em análise;4;43
